DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
190326475,03/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,2130,7,Wilshire,784,1,510,VEHICLE - STOLEN,,0,M,O,101.0,STREET,,,AA,Adult Arrest,510.0,998.0,,,1900 S  LONGWOOD                     AV,,34.0375,-118.3506
200106753,02/09/2020 12:00:00 AM,02/08/2020 12:00:00 AM,1800,1,Central,182,1,330,BURGLARY FROM VEHICLE,1822 1402 0344,47,M,O,128.0,BUS STOP/LAYOVER (ALSO QUERY 124),,,IC,Invest Cont,330.0,998.0,,,1000 S  FLOWER                       ST,,34.0444,-118.2628
200320258,11/11/2020 12:00:00 AM,11/04/2020 12:00:00 AM,1700,3,Southwest,356,1,480,BIKE - STOLEN,0344 1251,19,X,X,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,IC,Invest Cont,480.0,,,,1400 W  37TH                         ST,,34.021,-118.3002
200907217,05/10/2023 12:00:00 AM,03/10/2020 12:00:00 AM,2037,9,Van Nuys,964,1,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),0325 1501,19,M,O,405.0,CLOTHING STORE,,,IC,Invest Cont,343.0,,,,14000    RIVERSIDE                    DR,,34.1576,-118.4387
200200759,07/07/2020 12:00:00 AM,07/07/2020 12:00:00 AM,1340,2,Rampart,265,1,648,ARSON,0329 1402 2004 1501,0,X,X,101.0,STREET,,,IC,Invest Cont,648.0,998.0,,,JAMES M WOOD,ALVARADO,34.0536,-118.2788
200406391,03/02/2020 12:00:00 AM,03/01/2020 12:00:00 AM,1430,4,Hollenbeck,407,1,310,BURGLARY,0344 1607,27,M,W,221.0,PUBLIC STORAGE,,,IC,Invest Cont,310.0,,,,4500    HUNTINGTON DR,,34.0881,-118.1877
200606074,02/12/2020 12:00:00 AM,02/07/2020 12:00:00 AM,1615,6,Hollywood,646,2,805,PIMPING,1300 1402,23,F,H,101.0,STREET,,,AA,Adult Arrest,805.0,998.0,,,HOLLYWOOD,MC CADDEN,34.1016,-118.337
200906009,02/14/2020 12:00:00 AM,02/13/2020 12:00:00 AM,2230,9,Van Nuys,914,2,806,PANDERING,0908 1212 1402,0,F,X,101.0,STREET,,,AO,Adult Other,806.0,998.0,,,SEPULVEDA,BASSETT,34.1958,-118.4662
200504009,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2100,5,Harbor,526,2,946,OTHER MISCELLANEOUS CRIME,1501 0906 1816,0,X,X,101.0,STREET,,,AA,Adult Arrest,946.0,,,,G,ISLAND,33.7783,-118.2662
201106871,03/04/2020 12:00:00 AM,03/02/2020 12:00:00 AM,2130,11,Northeast,1107,2,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),,50,M,H,101.0,STREET,,,IC,Invest Cont,745.0,,,,6100    DELPHI                       ST,,34.1241,-118.1878
200111627,05/12/2020 12:00:00 AM,05/10/2020 12:00:00 AM,2200,1,Central,111,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 0913,30,F,W,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626.0,998.0,,,700 N  HILL                         PL,,34.0618,-118.2424
201225656,12/02/2020 12:00:00 AM,12/02/2020 12:00:00 AM,2245,12,77th Street,1268,1,210,ROBBERY,0344 0305 0355,21,M,H,101.0,STREET,511.0,VERBAL THREAT,IC,Invest Cont,210.0,,,,SAN PEDRO,85TH                         ST,33.961,-118.2695
200211094,06/08/2020 12:00:00 AM,06/06/2020 12:00:00 AM,1200,2,Rampart,237,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",1822 0344 1309 0601,0,X,X,247.0,CAR WASH,,,IC,Invest Cont,341.0,,,,1600 W  TEMPLE                       ST,,34.0682,-118.2609
201212036,05/02/2020 12:00:00 AM,05/01/2020 12:00:00 AM,2330,12,77th Street,1268,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",1822 0411,28,F,B,501.0,SINGLE FAMILY DWELLING,201.0,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,IC,Invest Cont,230.0,,,,100 E  82ND                         ST,,33.9654,-118.2739
200914517,09/10/2020 12:00:00 AM,09/09/2020 12:00:00 AM,1735,9,Van Nuys,909,2,354,THEFT OF IDENTITY,0377 1822 0928,40,M,O,507.0,CONDOMINIUM/TOWNHOUSE,,,IC,Invest Cont,354.0,,,,13600    LEADWELL                     ST,,34.2039,-118.4312
200105246,01/18/2020 12:00:00 AM,01/18/2020 12:00:00 AM,940,1,Central,118,2,624,BATTERY - SIMPLE ASSAULT,0913 0400,42,M,A,502.0,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",400.0,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,624.0,,,,200 E  BLOOM                        ST,,34.0639,-118.2295
200716724,12/04/2020 12:00:00 AM,12/03/2020 12:00:00 AM,811,7,Wilshire,722,1,442,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0325 0104,19,M,O,203.0,OTHER BUSINESS,,,IC,Invest Cont,442.0,,,,8400    BEVERLY                      BL,,34.0761,-118.3737
201112187,08/04/2020 12:00:00 AM,07/16/2020 12:00:00 AM,1900,11,Northeast,1144,2,662,"BUNCO, GRAND THEFT",0701 0913 0361,51,F,W,501.0,SINGLE FAMILY DWELLING,,,IC,Invest Cont,662.0,,,,2100    HYPERION                     AV,,34.099,-118.2738
200918185,12/07/2020 12:00:00 AM,12/07/2020 12:00:00 AM,1203,9,Van Nuys,935,2,900,VIOLATION OF COURT ORDER,2000 2038,52,F,W,725.0,"GOVERNMENT FACILITY (FEDERAL,STATE, COUNTY & CITY)",,,AA,Adult Arrest,900.0,,,,6200    SYLMAR                       AV,,34.1837,-118.4465
